CODE,TITLE
8546,БУХОЛОВО                              
6953,ОСТ. ПУНКТ 141 КМ                     
1769,ОСТ. ПУНКТ 149 КМ                     
9227,ШАХОВСКАЯ                             
3947,ШАХОВСКАЯ САИПС                       
4424,МОСКВА-СОРТИРОВОЧНАЯ-КИЕВСКАЯ         
5263,МОСКВА-ВХОД-КИЕВ                      
8313,МОСКВА-ТОВАРНАЯ-КИЕВСКАЯ              
9185,МОСКВА-ПАССАЖИРСКАЯ-КИЕВСКАЯ          
5784,ПОСТ ЗАВОДА ИМ. БАДАЕВА               
3637,МОСКВА-ТОВ-СМОЛ-ЧЕТ                   
1099,МОСКВА-ТОВАРНАЯ-СМОЛЕНСКАЯ            
2770,БЕГОВАЯ                               
9204,ТЕСТОВСКАЯ                            
1469,МОСКВА-ПАССАЖИРСКАЯ-СМОЛЕНСКАЯ        
4620,ПЛОЩАДЬ ГАГАРИНА                      
8912,КАНАТЧИКОВО                           
7488,ЛУЖНИКИ                               
2309,КАНАТЧИКОВО                           
2448,ВОРОБЬЕВЫ ГОРЫ                        
1653,КУТУЗОВО                              
3027,ДЕЛОВОЙ ЦЕНТР                         
9647,ШЕЛЕПИХА                              
2531,КУТУЗОВСКАЯ                           
8162,ПРЕСНЯ                                
6849,ХОРОШЕВО                              
3977,ЗОРГЕ                                 
5782,ПАНФИЛОВСКАЯ                          
2356,СЕРЕБРЯНЫЙ БОР                        
1422,СЕРЕБРЯНЫЙ БОР                        
4833,СТРЕШНЕВО                             
3979,БРАТЦЕВО                              
9200,БАЛТИЙСКАЯ                            
6324,БРАТЦЕВО ПУТИ ОТСТОЯ Ч                
8724,КОПТЕВО                               
4135,БРАТЦЕВО ПУТИ ОТСТОЯ Н                
6253,ЛИХОБОРЫ                              
2301,ЛИХОБОРЫ                              
3948,ЛИХОБОРЫ                              
3262,ОКРУЖНАЯ                              
3296,ВЛАДЫКИНО-МОСКОВСКОЕ                  
5300,ВЛАДЫКИНО-МОСКОВСКОЕ                  
3423,БОТАНИЧЕСКИЙ САД                      
3511,РОСТОКИНО                             
5042,РОСТОКИНО                             
3115,РОСТОКИНО                             
9662,БЕЛОКАМЕННАЯ                          
1480,БУЛЬВАР РОКОССОВСКОГО                 
9709,БЕЛОКАМЕННАЯ НЕЧЕТНАЯ                 
1979,ЧЕРКИЗОВО                             
3673,СОКОЛИНАЯ ГОРА                        
8624,ИЗМАЙЛОВО                             
2857,ЛЕФОРТОВО                             
4516,АНДРОНОВКА                            
4981,СЕВЕРНЫЙ ПОСТ                         
3295,НИЖЕГОРОДСКАЯ                         
6723,НОВОХОХЛОВСКАЯ                        
4791,УГРЕШСКАЯ                             
2512,ШОССЕ ЭНТУЗИАСТОВ                     
1602,АНДРОНОВКА-ПАССАЖИРСКАЯ               
5269,МОСКВА-ЮЖНЫЙ ПОРТ                     
1415,МОСКВА-ЮЖНЫЙ ПОРТ                     
1734,УГРЕШСКАЯ                             
2979,ДУБРОВКА                              
6971,АВТОЗАВОДСКАЯ                         
7326,УГРЕШСКАЯ СТРЕЛОЧНЫЙ ПЕРЕВОД №1       
5426,КОЖУХОВО                              
3954,ЗИЛ                                   
2757,ВЕРХНИЕ КОТЛЫ                         
3861,КРЫМСКАЯ                              
5350,БОЙНЯ                                 
5236,БОЙНЯ                                 
6785,НОВОПРОЛЕТАРСКАЯ                      
8935,МОСКВА-ЮЖНЫЙ ПОРТ (ЭКСП.)             
3789,БРЯНСК-ЛЬГОВСКИЙ                      
8331,ОСТ. ПУНКТ 5 КМ                       
1195,РИЖСКИЙ ПОСТ                          
1215,ДЕПОВСКАЯ                             
4304,ОСТ. ПУНКТ 396 КМ                     
9373,БРЯНСК-ЛЬГОВСКИЙ-ЧПП                  
2285,ПОСТ-БРЯНСК-ЮЖНЫЙ                     
7328,ОСТ. ПУНКТ 387 КМ                     
2209,СТЯЖНОЕ                               
6104,БРЯНСК-ЛЬГОВСКИЙ-НТСО                 
4290,БРЯНСК-ОРЛОВСКИЙ                      
7036,УРИЦКИЙ                               
5658,ОСТ. ПУНКТ 375 КМ                     
1011,ОСТ. ПУНКТ 225 КМ                     
3356,ОСТ. ПУНКТ 371 КМ                     
9864,БРЯНСК-СЕВЕРНЫЙ                       
9611,БРЯНСК-ЛЬГОВСКИЙ-ЧТСО                 
9202,ПУНКА                                 
6621,ОСТ. ПУНКТ 214 КМ                     
8587,ПОСТ БРЯНСК-СЕВЕРНЫЙ                  
7112,БРЯНСК-ВОСТОЧНЫЙ                      
4437,ОСТ. ПУНКТ 126 КМ                     
3907,СНЕЖЕТЬСКАЯ                           
9607,БЕЛОБЕРЕЖСКАЯ                         
5993,ВОСТОЧНЫЙ ПАРК                        
5607,ОСТ. ПУНКТ 131 КМ                     
2923,ПЛАТФОРМА БРЯНСК-ВОСТОЧНЫЙ            
6062,ЗАПАДНЫЙ ПАРК                         
5762,МОСКВА-ЮЖНЫЙ ПОРТ (ПЕРЕВ.)            
7928,БРЯНСК-ЛЬГОВСКИЙ-ЧВ                   
6786,БРЯНСК-ЛЬГОВСКИЙ-НВ                   
5527,БРЯНСК-ЛЬГОВСКИЙ-ЧЗ                   
8661,БРЯНСК-ЛЬГОВСКИЙ-НЗ                   
4591,БЕЛЫЕ БЕРЕГА                          
3814,ОСТ. ПУНКТ 109 КМ                     
5035,МЫЛИНКА                               
8174,ОСТ. ПУНКТ 94 КМ                      
7133,ПЛАТФОРМА 99 КМ                       
3223,КАРАЧЕВ                               
